서울ㆍ인천ㆍ경기도 | 서울 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 1 | 11 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 1 | 11 | 보통
A02 | 2019-02-28 00:00 | 맑음 | 2 | 12 | 높음
A02 | 2019-02-28 12:00 | 맑음 | 2 | 12 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 11 | 보통

서울ㆍ인천ㆍ경기도 | 인천 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 8 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 8 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 1 | 9 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 1 | 9 | 보통
A02 | 2019-02-28 00:00 | 맑음 | 2 | 9 | 높음
A02 | 2019-02-28 12:00 | 맑음 | 2 | 9 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 1 | 10 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 10 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 8 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 8 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 8 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 9 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 2 | 9 | 보통

서울ㆍ인천ㆍ경기도 | 수원 
A02 | 2019-02-26 00:00 | 맑음 | -2 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -2 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 0 | 11 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 0 | 11 | 보통
A02 | 2019-02-28 00:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-02-28 12:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 0 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 2 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 1 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 10 | 보통

서울ㆍ인천ㆍ경기도 | 파주 
A02 | 2019-02-26 00:00 | 맑음 | -6 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -6 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | -4 | 10 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | -4 | 10 | 보통
A02 | 2019-02-28 00:00 | 맑음 | -3 | 12 | 높음
A02 | 2019-02-28 12:00 | 맑음 | -3 | 12 | 높음
A02 | 2019-03-01 00:00 | 맑음 | -3 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | -3 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | -1 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | -1 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 0 | 8 | 보통
A01 | 2019-03-04 00:00 | 맑음 | -1 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | -1 | 10 | 보통

강원도영서 | 춘천 
A02 | 2019-02-26 00:00 | 맑음 | -5 | 11 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -5 | 11 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | -3 | 12 | 보통
